user_id,promo_code,used_at,used_promo
27bde9c4-3d3a-4a68-8d6d-bb3092704504,3257,2023-08-20 14:41:50.435432,True
d10e3fa4-f4b3-47a3-ac1e-374bfc7d2dd5,5303,2023-08-19 00:12:11.457947,True
3c0b2f0a-d099-4c37-9719-a4803c552a6d,1913,2024-02-12 11:26:52.633147,True
7fc6b61a-a2e4-4022-a551-28607ab5517a,8022,2023-10-15 07:13:34.394692,True
5d3dc0d8-9585-4558-9921-7bce770fa9e2,8326,2024-01-18 17:20:43.807151,True
2ed8550e-7903-4544-aca9-d82345dbf7ed,1766,2023-10-19 10:35:43.405808,True
b5dd5077-c0d9-4151-a475-3bc3c166b7f7,6947,2023-12-20 07:19:46.915663,True
afda4b81-b014-467d-b283-a547041b3f03,6983,2023-12-03 13:00:40.659359,True
bf78a123-86ac-4eb4-82f0-6744dc080a05,2151,2023-10-23 07:14:15.126903,True
11055581-de24-4c6d-8304-85c5f7c21fdd,9588,2024-01-16 07:44:45.938076,True
70531963-e51b-4f2e-b167-4b64d486d0d6,4254,2024-04-10 12:10:47.165163,True
b4aaa92f-535d-47bf-ac5b-df8bcf65fc43,1423,2023-06-19 15:15:09.664528,True
84777754-33e9-48e8-abe0-241b36cc9896,1157,2024-03-11 15:28:41.664171,True
cb819e6f-f10a-4eb5-a476-4350c8fb036f,8394,2024-05-04 09:12:20.527198,True
0442c180-f72e-4af1-a26e-39c1e6f75e36,5366,2023-10-05 23:47:01.320308,True
ef9c041e-dd4b-4921-95f4-0b4eab4c6e03,2411,2024-02-16 19:03:18.223069,True
35e7843d-06c8-467a-90aa-408a143f7651,9397,2023-07-21 07:45:25.061619,True
0429f3b1-1c2c-4088-a86b-2517caab0089,6212,2024-04-09 04:00:51.171235,True
3f827972-ed40-4a92-a464-bcf94a5973e3,9862,2023-06-14 02:07:22.651712,True
e08c2873-6e5e-4b95-8709-94a5646be6f0,1828,2023-08-15 21:12:15.017493,True
1a2f0cfd-3292-4e93-9216-43ac109e7674,1207,2023-10-13 05:49:26.364820,True
0ec72e4c-18a2-48c8-88b0-260939bb0e0c,9036,2024-05-07 12:30:48.947772,True
8a78f1d5-3b65-4e14-b6e7-61cbf6166904,9586,2024-04-21 19:43:48.156923,True
8493e0fc-8613-40a0-9c72-4c419593bc28,9667,2023-05-17 00:20:49.834076,True
112f2840-e3ff-4998-88be-b7a6f1faaf99,4393,2024-01-16 07:07:28.227123,True
ada26f86-0bc7-4a80-a8b1-fa53c1199db8,8565,2024-02-09 22:39:44.625450,True
afffe271-aca3-4b33-9a81-2596ce3827f6,7906,2023-05-29 06:53:53.239620,True
b4d7af69-86b1-4ede-8e12-4f6f707081f0,8366,2023-07-31 19:54:19.787998,True
6c1885fd-a350-4d80-9b81-ef02323deef3,6825,2024-03-20 09:15:58.129700,True
83f7af78-c61c-478f-aa93-e925b161e1da,7796,2023-10-09 22:56:52.447359,True
76762f53-324d-4ec0-bddc-11aa19e80974,8983,2023-12-11 10:35:43.783572,True
a84041b5-8fea-4138-9c90-1b8c2042ea56,2342,2023-11-17 11:19:08.376887,True
2a29979a-4822-4398-aad1-8867abf8b9f8,3222,2024-03-05 06:38:18.568082,True
d406707c-b9a6-4908-aa78-c809caf1602c,2578,2023-08-29 14:24:41.641538,True
c67c89d8-3c40-4f24-86f9-714c888bc3e5,3697,2023-08-06 04:53:57.519331,True
